product_uuid;price;product name
a5e247b3-ac28-46e4-b791-a52837a19e1e;100;Eidel
85b34e6e-5596-4468-82c7-c509b08bed70;110;Chatterpoint
15c4ccc0-3c0c-416b-8790-70c2dce441a3;90;Roombo
584a3ef0-6503-486f-8f3a-62bbcdac3515;160;Aimbu
d04791a5-8051-451f-a263-0ee2feb45dbc;80;Yabox
5142862b-bedf-4860-9485-41efe7c49795;150;Browseblab
1a5b3582-db8e-49c8-b6e8-d82a8eabf321;30;Tavu
31251f65-3ce0-4fab-afa7-3ee4a8de3b50;200;Kimia
4fd0e23f-1fcf-49ce-86bb-addc01bebc78;120;Kwinu
b7cda42d-75ce-4ef7-b76e-bc2f817fee28;140;Topicstorm
